,pred
2009-06-01,0.1992250165642518
2009-06-02,0.18144536237991205
2009-06-03,0.17384323936149293
2009-06-04,0.17797464914080544
2009-06-05,0.18857181613149993
2009-06-06,0.1884544366198976
2009-06-07,0.19354827405684094
2009-06-08,0.20353089974839716
2009-06-09,0.2155289864498
2009-06-10,0.17961491470792354
2009-06-11,0.16603193900510516
2009-06-12,0.17926951037764227
2009-06-13,0.1835351872590492
2009-06-14,0.19103588591014659
2009-06-15,0.18933271545463526
2009-06-16,0.202450440930955
2009-06-17,0.18016682463500963
2009-06-18,0.17059474884311976
2009-06-19,0.17781253623745863
2009-06-20,0.1878097157108626
2009-06-21,0.19205951644883545
2009-06-22,0.18452416490640214
2009-06-23,0.19979787440205643
2009-06-24,0.20432976094910113
2009-06-25,0.17831121146601936
2009-06-26,0.17007572744755994
2009-06-27,0.181940585833566
2009-06-28,0.18330553408321784
2009-06-29,0.186741713550957
2009-06-30,0.17667749584374826
2009-07-01,0.19673141076615
2009-07-02,0.1846811479617462
2009-07-03,0.17155919752885382
2009-07-04,0.17126345826325537
2009-07-05,0.18374398733938815
2009-07-06,0.19059753207113936
2009-07-07,0.17800902939136154
2009-07-08,0.1928472100819081
2009-07-09,0.2037096523465075
2009-07-10,0.17854005632820474
2009-07-11,0.1700745621025067
2009-07-12,0.1827838430165848
2009-07-13,0.18881384584315744
2009-07-14,0.17777686807738521
2009-07-15,0.1745085394841184
2009-07-16,0.1980441116970806
2009-07-17,0.18640709622327548
2009-07-18,0.1725422718650785
2009-07-19,0.17282566871890498
2009-07-20,0.18363150820043933
2009-07-21,0.1904716577696834
2009-07-22,0.17811223772726198
2009-07-23,0.1787265454705471
2009-07-24,0.20471788464438143
2009-07-25,0.18484067226017956
2009-07-26,0.1711580663569409
2009-07-27,0.17664161015897695
2009-07-28,0.18250193998557507
2009-07-29,0.18420670193662697
2009-07-30,0.1797578525853329
2009-07-31,0.1937477545846401
2009-08-01,0.18679470085358896
2009-08-02,0.17247008289435162
2009-08-03,0.17215206212097445
2009-08-04,0.18229238945453333
2009-08-05,0.19014451338477056
2009-08-06,0.18194451347135907
2009-08-07,0.17195752971399017
2009-08-08,0.19697504901820173
2009-08-09,0.1869823804102062
2009-08-10,0.17245850554130907
2009-08-11,0.17424401231675885
2009-08-12,0.1822676471721514
2009-08-13,0.18458717397910987
2009-08-14,0.17879431699335552
2009-08-15,0.17945885109995247
2009-08-16,0.18742822009140486
2009-08-17,0.17876461144655528
2009-08-18,0.17325493573560788
2009-08-19,0.18132433877197326
2009-08-20,0.18351816205144275
2009-08-21,0.18197020153161808
2009-08-22,0.17384190159954024
2009-08-23,0.19510197982680758
2009-08-24,0.18614645526131127
2009-08-25,0.17351637143955312
2009-08-26,0.17522425273820408
2009-08-27,0.1827631001854987
2009-08-28,0.182932147430071
2009-08-29,0.17382803775385708
